#SampleID,Chr,Position,Strand,JR_count,Gene,Comments
T1127,chr2,141924620,+,23,LRP1B,Hot-spot;JR-rand
T1581,chr13,74073666,+,40,"KLF5,KLF12",Hot-spot;JR-rand
T1804,chr11,83452234,-,21,DLG2,Hot-spot;JR-rand
T1804,chr3,189677772,+,52,LEPREL1,Hot-spot;JR-rand
T1804,chr7,85224316,-,29,SEMA3D,Hot-spot;JR-rand
T2019,chr12,66095063,-,31,"MSRB3,HMGA2",Hot-spot;JR-rand
T2019,chr12,66095097,-,44,"MSRB3,HMGA2",Hot-spot;JR-rand
T2019,chr12,66095116,-,30,"MSRB3,HMGA2",Hot-spot;JR-rand
T2060,chr3,60580434,-,38,FHIT,Hot-spot;JR-rand
T2064,chr3,60580350,-,35,FHIT,Hot-spot;JR-rand
T2064,chr3,60580370,-,44,FHIT,Hot-spot;JR-rand
T2064,chr7,84455145,-,35,SEMA3D,Hot-spot;JR-rand
T2075,chr3,60580359,-,46,FHIT,Hot-spot;JR-rand
T2079,chr12,66095127,-,43,"MSRB3,HMGA2",Hot-spot;JR-rand
T2117,chr8,128230632,-,22,POU5F1B,Hot-spot;JR-rand
T2117,chr8,128241548,-,6,POU5F1B,Hot-spot;JR-rand
T2299,chr3,60580179,+,21,FHIT,Hot-spot;JR-rand
T2299,chr3,60580190,-,28,FHIT,Hot-spot;JR-rand
T3023,chr12,66044325,+,46,"MSRB3,HMGA2",Hot-spot;JR-rand
T3023,chr12,66095104,-,32,"MSRB3,HMGA2",Hot-spot;JR-rand
S12,chr12,66044325,-,32,"MSRB3,HMGA2",Hot-spot;JR-rand
S12,chr12,66044360,-,52,"MSRB3,HMGA2",Hot-spot;JR-rand
S12,chr12,66044325,-,6,"MSRB3,HMGA2",Hot-spot;JR-rand
S12,chr12,66044440,-,34,"MSRB3,HMGA2",Hot-spot;JR-rand
S12,chr12,66070342,-,54,"MSRB3,HMGA2",Hot-spot;JR-rand
T3157,chr11,84402641,-,6,DLG2,Hot-spot;JR-rand
T3157,chr12,66244204,-,53,HMGA2,Hot-spot;JR-rand
